                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    110,                 1.5378,                 1.5543,                  1.885,                0.74396,                0.93516,                0.93245,                0.60707,                 1.3245,                 1.3755,                  1.787,             0.00094605,             0.00094605,             0.00094605
                    111,                 1.5338,                 1.6518,                 1.9301,                0.70166,                0.85351,                0.89644,                0.56013,                 1.3844,                 1.4246,                 1.8577,             0.00094555,             0.00094555,             0.00094555
                    112,                 1.5126,                 1.6649,                 1.9133,                0.83741,                0.86482,                0.92648,                0.64761,                 1.1825,                 1.2961,                 1.6374,             0.00094505,             0.00094505,             0.00094505
                    113,                 1.5737,                 1.5941,                 1.8691,                0.78419,                0.91947,                0.93372,                0.64792,                 1.1702,                 1.3381,                 1.6482,             0.00094456,             0.00094456,             0.00094456
                    114,                 1.5321,                 1.5795,                 1.8917,                0.79116,                0.77595,                0.89628,                0.56493,                 1.3065,                 1.8302,                 1.7849,             0.00094407,             0.00094407,             0.00094407
                    115,                 1.5065,                 1.5048,                 1.8959,                 0.6709,                0.81447,                0.84709,                0.58996,                 1.1497,                 1.8916,                 1.6446,             0.00094357,             0.00094357,             0.00094357
                    116,                 1.4908,                 1.5074,                 1.8462,                0.61409,                0.89745,                0.86711,                0.60657,                 1.1626,                 1.7415,                 1.6853,             0.00094308,             0.00094308,             0.00094308
                    117,                  1.497,                 1.6663,                 1.9528,                0.64282,                0.91685,                0.87817,                0.62827,                  1.146,                 1.5266,                 1.6715,             0.00094258,             0.00094258,             0.00094258
                    118,                 1.5727,                 1.7186,                 1.9953,                 0.8224,                 0.9569,                0.93151,                0.62664,                 1.2833,                 1.4056,                  1.705,             0.00094208,             0.00094208,             0.00094208
                    119,                 1.5206,                 1.6623,                  1.853,                0.73742,                0.80377,                0.86121,                 0.5484,                 1.3958,                 1.6675,                   1.79,             0.00094159,             0.00094159,             0.00094159
                    120,                 1.5403,                 1.7085,                 1.8487,                0.62125,                 0.8384,                0.83071,                0.47276,                 1.6106,                 2.0279,                 1.9895,              0.0009411,              0.0009411,              0.0009411
                    121,                  1.548,                 1.6323,                 1.8892,                0.68031,                0.86667,                0.88031,                0.49684,                 1.6249,                 1.6616,                  2.022,              0.0009406,              0.0009406,              0.0009406
                    122,                 1.4944,                 1.4742,                 1.8582,                0.71578,                0.74708,                0.89787,                0.53661,                 1.4697,                 1.4956,                 1.8939,              0.0009401,              0.0009401,              0.0009401
                    123,                 1.5431,                 1.5214,                 1.8854,                0.87634,                0.73217,                0.92798,                0.60466,                 1.2924,                 1.3641,                 1.7751,             0.00093961,             0.00093961,             0.00093961
                    124,                 1.5636,                 1.5184,                 1.8964,                 0.8242,                0.88541,                0.94754,                0.60464,                 1.3096,                 1.3021,                 1.8014,             0.00093912,             0.00093912,             0.00093912
                    125,                  1.569,                 1.6115,                 1.9393,                0.87512,                0.95671,                0.95402,                0.65221,                 1.1557,                 1.1789,                 1.6618,             0.00093862,             0.00093862,             0.00093862
                    126,                 1.4611,                 1.4486,                 1.8264,                0.77643,                0.90414,                0.92546,                0.61277,                  1.237,                  1.241,                 1.6381,             0.00093813,             0.00093813,             0.00093813
                    127,                 1.3652,                 1.4959,                 1.7963,                0.76868,                0.87317,                 0.8895,                0.54125,                 1.2967,                 1.2984,                 1.7165,             0.00093763,             0.00093763,             0.00093763
                    128,                 1.5024,                 1.5848,                 1.9168,                0.75065,                0.79325,                0.85797,                0.48572,                 1.3366,                 1.4533,                 1.8301,             0.00093714,             0.00093714,             0.00093714
                    129,                 1.4356,                 1.4629,                 1.8229,                0.79444,                  0.879,                0.90998,                0.54074,                   1.29,                 1.3494,                 1.7533,             0.00093664,             0.00093664,             0.00093664
                    130,                 1.3225,                 1.4432,                 1.7606,                0.81282,                0.85624,                0.89864,                0.62588,                 1.2036,                 1.2366,                 1.6731,             0.00093614,             0.00093614,             0.00093614
                    131,                 1.3975,                 1.4306,                 1.7863,                0.73606,                0.87588,                 0.8721,                0.58913,                 1.2288,                 1.2881,                 1.7126,             0.00093565,             0.00093565,             0.00093565
                    132,                 1.4766,                 1.5954,                  1.863,                0.62389,                0.72089,                0.81618,                0.55316,                 1.2318,                 1.6251,                 1.6408,             0.00093516,             0.00093516,             0.00093516
                    133,                 1.3662,                 1.4123,                 1.7982,                0.57396,                0.83208,                0.83961,                0.49576,                 1.4486,                 1.6418,                 1.7312,             0.00093466,             0.00093466,             0.00093466
